CellID,DNA1,ECAD,CD45,CD4,CD3D,CD8A,CD45R,KI67,X_centroid,Y_centroid,Area,MajorAxisLength,MinorAxisLength,Eccentricity,Solidity,Extent,Orientation
3114,20096.35,408.71,309.66,515.69,364.78,312.48,325.2,1648.62,2591.210526,1075.097744,133,18.82090986,9.093172366,0.875541998,0.943262411,0.665,0.187924298
3115,19071.91,805.49,266.01,629.94,793.79,334.72,358.94,1405.84,1219.786325,1075.461538,117,17.91606716,9.144827858,0.859921637,0.854014599,0.585,0.09654901
3116,22817.61,854.73,285.57,625.51,718.53,348.12,385.91,1881.33,1478.554348,1072.380435,92,14.29865528,8.913269752,0.781931633,0.859813084,0.707692308,0.22542595
3117,19671.31,921.81,277.52,681.16,721.04,380.39,439.36,2462.17,1504.943548,1073.919355,124,18.87996494,9.209301372,0.872965643,0.855172414,0.645833333,-0.357156414
3118,29625.32,460.39,779.84,663.33,670.52,541.28,352.21,1682.6,1956.132075,1071.084906,106,12.35809904,11.02038926,0.452519703,0.92173913,0.679487179,-1.143151193
3119,29664.18,882.02,1363.65,679.83,2211.43,2887.02,422.78,1941.16,2046.810526,1069.915789,95,12.56149709,9.755153972,0.630004272,0.95959596,0.791666667,1.542586999
3120,34075.54,930.29,291.11,693.7,616.7,327.84,442.3,2010.34,2093.464286,1069.428571,56,9.450218488,7.728789482,0.575442255,0.918032787,0.7,-1.491795787
3121,18710.65,395.52,511.31,572.73,645.87,286.08,314.33,2071.88,2190.423077,1070.442308,52,9.861426574,6.871660756,0.717243927,0.928571429,0.577777778,0.772682023
3122,14602.94,462.82,887.91,596.54,514.9,355.17,324.24,709.8,600.6829268,1071.402439,82,15.7160799,7.646142052,0.873671039,0.811881188,0.546666667,-1.560925742
3123,32737.08,639.89,1061.75,4233.59,628.42,309.39,355.44,661.35,870.2957746,1071.464789,71,10.09071515,9.477780895,0.343212996,0.865853659,0.71,0.624104476
3124,9396.52,541.9,901.81,780.58,595.77,292.26,327.36,1415.11,1061.45679,1071.098765,81,13.51806098,7.827746229,0.815286094,0.920454545,0.75,1.26139043
3125,20934.09,449.06,331.46,613.81,556.53,328.1,353.88,1630.38,1381.695238,1075.590476,105,17.96553825,8.183811106,0.890221303,0.8203125,0.648148148,0.020794363
3126,19595.21,413.96,263.93,496.4,420.96,293.99,324.54,1674.84,1747.647059,1074.458824,85,15.9287721,7.057404121,0.896491888,0.904255319,0.555555556,0.258538559
3127,11112.82,382.58,304.74,479.62,378.89,296.52,318.23,2144.46,2217.230769,1070.769231,65,12.48940449,6.791613812,0.839221299,0.878378378,0.601851852,1.23611762
3128,16269.73,1229.36,285.28,702.51,853.84,430.93,373.01,1888.28,2491.418605,1070.813953,86,11.79701191,9.468847127,0.596453107,0.977272727,0.796296296,1.29953748
3129,25105.98,449.38,388.92,630.95,409.35,493.6,320.83,1661.73,2462.183486,1073.587156,109,19.15758567,7.512442304,0.919905847,0.886178862,0.534313725,-1.046654082
3130,36302.79,445.66,299.72,521.68,351.55,273.87,328.34,764.15,573.5849057,1073.150943,53,9.060885251,7.567663378,0.549944311,0.929824561,0.654320988,-0.859071813
3131,30312.31,489.97,533.69,635.97,522.62,369.64,407.67,2018.92,2125.435897,1071.794872,39,8.514555452,5.913415777,0.71948624,0.928571429,0.8125,-1.287990665
3132,34823.89,558.69,970.05,1024.17,991.46,407.85,377.47,2007.88,2177.555556,1074.864198,81,12.21573942,9.087320782,0.66828801,0.818181818,0.613636364,0.535815333
